Title,Year,Rating,Plot,Genre
Transformers One,2024,7.8,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",family
Hocus Pocus,1993,6.9,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",family
Harry Potter and the Sorcerer's Stone,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",family
Piece by Piece,2024,7.4,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation.",family
White Bird,2023,7.3,"Struggling to fit in at his new school after being expelled for his treatment of Auggie Pullman, Julian is visited by his grandmother and is transformed by the story of her attempts to escape Nazi-occupied France during World War II.",family
The Nightmare Before Christmas,1993,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",family
The Forge,2024,6.4,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions.",family
Casper,1995,6.2,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,family
Miss Peregrine's Home for Peculiar Children,2016,6.7,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",family
Sonic the Hedgehog 3,2024,N/A,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",family
IF,2024,6.5,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,family
Inside Out,2015,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",family
Coraline,2009,7.8,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",family
Despicable Me 4,2024,6.2,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",family
Sing,2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",family
The Little Mermaid,2023,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,family
The Princess Diaries,2001,6.4,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",family
The Garfield Movie,2024,5.7,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.",family
Moana 2,2024,N/A,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she has ever faced.",family
Corpse Bride,2005,7.4,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",family
Hocus Pocus 2,2022,6,Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,family
Over the Garden Wall,2014,8.8,Two brothers find themselves lost in a mysterious land and try to find their way home.,family
Halloweentown,1998,6.5,"When a young girl living with her secret witch mother learns she too is a witch, she must help her witch grandmother save Halloweentown from evil forces.",family
Harry Potter and the Goblet of Fire,2005,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",family
The Wild Robot,2024,8.5,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",animation
Inside Out 2,2024,7.6,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",animation
The Legend of Vox Machina,2022-,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",animation
Transformers One,2024,7.8,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",animation
Dandadan,2024-,8.6,"A story of young love and occult battles begins. When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens, and awakened powers.",animation
Bleach: Thousand-Year Blood War,2022-,9,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",animation
One Piece,1999-,9,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",animation
Uzumaki: Spiral Into Horror,2024,7.9,"A town of people slowly go insane over increasing obsessions with spiral shapes: patterns in the clouds, everyday objects, hair, insects, skin.",animation
Attack on Titan,2013-2023,9.1,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",animation
Tomb Raider: The Legend of Lara Croft,2024-,5.6,Follows heroine Lara Croft as she explores new territory.,animation
The Simpsons,1989-,8.7,The satiric half-hour adventures of a working-class family in the misfit city of Springfield.,animation
My Hero Academia,2016-,8.2,"A superhero-admiring boy enrolls in a prestigious hero academy and learns what it really means to be a hero, after the strongest superhero grants him his own powers.",animation
The Boy and the Heron,2023,7.4,"In the wake of his mother's death and his father's remarriage, a headstrong boy named Mahito ventures into a dreamlike world shared by both the living and the dead.",animation
Bleach,2004-2023,8.2,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".",animation
Piece by Piece,2024,7.4,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation.",animation
The Amazing Digital Circus,2023-,8,A woman gets trapped in a crazy virtual world along with five other humans and are now subject to the whims of wacky AI and their own personal traumas.,animation
The Nightmare Before Christmas,1993,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",animation
Rick and Morty,2013-,9.1,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,animation
Family Guy,1999-,8.1,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",animation
Arcane,2021-2024,9,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League of Legends champions and the power that will tear them apart.",animation
Jujutsu Kaisen,2020-,8.5,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,animation
Demon Slayer: Kimetsu no Yaiba,2019-,8.6,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",animation
Bob's Burgers,2011-,8.2,Bob Belcher runs a struggling burger shop with his wife and three children.,animation
IF,2024,6.5,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,animation
South Park,1997-,8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",animation
Saturday Night,2024,7.4,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.",history
The Apprentice,2024,6.9,The story of how a young Donald Trump started his real-estate business in 1970s and '80s New York with the helping hand of infamous lawyer Roy Cohn.,history
Shogun,2024-2026,8.6,"When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",history
Lee,2023,7,"The story of American photographer Lee Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",history
The Crown,2016-2023,8.6,Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.,history
Vikings,2013-2020,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",history
Oppenheimer,2023,8.3,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bomb, thus helping end World War 2. We see his life from university days all the way to post-WW2.",history
Band of Brothers,2001,9.4,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",history
Chernobyl,2019,9.3,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",history
Uprising,2024,6.7,"In the Joseon Dynasty, two friends who grew up together, one the master and one the servant, reunite post-war as enemies on opposing sides.",history
Gyeongseong Creature,2023-,7.3,"In Spring 1945 in Gyeongseong, during Japanese rule over Korea, two young adults confront a strange creature born of greed, and battle against it for survival.",history
Blitz,2024,7,Follow the stories of a group of Londoners during the events of the British capital bombing in World War II.,history
The Last Kingdom,2015-2022,8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",history
Schindler's List,1993,9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",history
The Chosen,2017-,9.2,"The Chosen is a historical drama based on the life of Jesus and those who knew him. Set against the backdrop of Roman oppression in first-century Israel, the series shares an authentic look at Jesus' revolutionary life and teachings.",history
Queer,2024,5.8,"Lee, who recounts his life in Mexico City among American expatriate college students and bar owners surviving on part-time jobs and GI Bill benefits. He is driven to pursue a young man named Allerton, who is based on Adelbert Lewis Marker.",history
Call the Midwife,2012-,8.6,Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.,history
The Count of Monte-Cristo,2024,8,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him.",history
Vikings: Valhalla,2022-2024,7.3,"Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror.",history
Reagan,2024,6.4,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office.",history
American Crime Story,2016-,8.4,An anthology series centered around America's most notorious crimes and criminals.,history
Killers of the Flower Moon,2023,7.6,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",history
Babylon,2022,7.1,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",history
Cleopatra,1963,7,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,history
Napoleon,2023,6.4,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",history
Challengers,2024,7.1,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",sport
Ted Lasso,2020-2023,8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",sport
American Sports Story,2024-,7,"Re-examines a prominent event involving a sports figure. First season will follow the story of Aaron Hernandez, the former New England Patriots and convicted murderer.",sport
La Máquina,2024,7.1,"Follows an aging boxer whose crafty manager secures one last shot at a title. But if they want to make it to fight night, they must navigate a mysterious underworld force and the boxer's own ailing mind.",sport
One Tree Hill,2003-2012,7.8,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",sport
Cobra Kai,2018-2025,8.4,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",sport
Mr. McMahon,2024,7.8,WWE experienced record-breaking highs and crushing lows under Vince McMahon's leadership and the mogul's controversial reign.,sport
Marty Supreme,N/A,N/A,Plot under wraps.,sport
Blue Lock,2022-,8.2,High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.,sport
Starting 5,2024-,7.3,"Five NBA superstars' journeys during the 2023-24 season. Their on-court battles, injury struggles, and efforts to balance family life and cementing their legacies.",sport
Rez Ball,2024,6.2,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive.",sport
The Iron Claw,2023,7.6,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",sport
Cars,2006,7.2,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",sport
Friday Night Lights,2006-2011,8.7,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",sport
The Grand Tour,2016-2024,8.7,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",sport
Slap Shot,1977,7.3,A failing ice hockey team finds success with outrageously violent hockey goonery.,sport
The Karate Kid,1984,7.3,"Recently relocated from NJ to LA, Daniel becomes the target of a gang of Cobra Kai dojo students. When Mr. Miyagi saves him with expert Karate skills, Daniel convinces him to teach him to defend himself, and put his bullies in their place.",sport
Happy Gilmore,1996,7,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",sport
Young Woman and the Sea,2024,7.6,"The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",sport
Ford v Ferrari,2019,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,sport
Point Break,2015,5.3,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",sport
Heels,2021-2023,8,"Two brothers and rivals - one a villain, or ""heel,"" in the ring; the other a hero, or ""face,"" war over their late father's wrestling promotion, vying for national attention in small-town Georgia.",sport
Top Gear,2002-2022,8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",sport
Caddyshack,1980,7.2,An exclusive golf course has to deal with a flatulent new member and a destructive dancing gopher.,sport
Remember the Titans,2000,7.8,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.",sport
Yellowstone,2018-,8.7,A ranching family in Montana faces off against others encroaching on their land.,western
Horizon: An American Saga - Chapter 1,2024,6.7,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",western
1923,2022-2023,8.3,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression.",western
1883,2021-2022,8.7,"The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",western
The Last of the Mohicans,1992,7.6,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,western
The Dark Tower,2017,5.6,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,western
Django Unchained,2012,8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",western
Killers of the Flower Moon,2023,7.6,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",western
Justified,2010-2015,8.6,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",western
Preacher,2016-2019,7.9,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.",western
Tombstone,1993,7.8,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",western
Gunsmoke,1955-1975,8.1,Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.,western
Little House on the Prairie,1974-1983,7.5,The life and adventures of the Ingalls family in the nineteenth century American Midwest.,western
"The Good, the Bad and the Ugly",1966,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,western
Bone Tomahawk,2015,7.1,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",western
Deadwood,2004-2006,8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",western
Horizon: An American Saga - Chapter 2,2024,7,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,western
Longmire,2012-2017,8.3,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",western
The Hateful Eight,2015,7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",western
3:10 to Yuma,2007,7.6,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,western
The Magnificent Seven,2016,6.9,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,western
The Revenant,2015,8,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,western
Legends of the Fall,1994,7.5,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",western
Wind River,2017,7.7,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",western
The Thicket,2024,5.7,"West Texas. A boy who, after his sister is kidnapped by a violent killer known only as Cut Throat Bill, enlists a fierce bounty hunter named Reginald Jones who becomes the leader of the group of outcasts searching for the stolen girl.",western
A Complete Unknown,2024,N/A,"At the Newport Folk Festival in 1965, a young Bob Dylan shakes up his act on the folk music scene by going electric and siring rock as the voice of a generation - defining one of the most transformative moments in 20th century music.",music
Saturday Night Live,1975-,8,A famous guest host stars in parodies and sketches.,music
Dinner in America,2020,7.4,An on-the-lam punk rocker and a young woman obsessed with his band unexpectedly fall in love and go on an epic journey together through America's decaying Midwestern suburbs.,music
Whiplash,2014,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,music
Descendants: The Rise of Red,2024,4.7,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an event that would cause grave consequences.",music
Maria,2024,6.2,"Follows the life story of the world's greatest opera singer, Maria Callas, during her final days in 1970s Paris.",music
A Star Is Born,2018,7.6,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,music
Michael,2025,N/A,"The story of the famous musician Michael Jackson, known as the King of Pop.",music
Green Book,2018,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,music
Back to Black,2024,6.3,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.",music
Glee,2009-2015,6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,music
La La Land,2016,8,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",music
Everybody Still Hates Chris,2024-,7.3,"Animated sequel series which follows Everybody Hates Chris (2005), focusing on Chris Rock's life as a kid in 1980s Brooklyn, New York.",music
Coco,2017,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",music
Amadeus,1984,8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",music
Baby Driver,2017,7.5,"Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom.",music
8 Mile,2002,7.2,"Follows a young rapper in the Detroit area, struggling with every aspect of his life; he wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",music
Oshi No Ko,2023-,8.3,A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.,music
Almost Famous,2000,7.9,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,music
Better Man,2024,6.8,A singular profile of British pop superstar Robbie Williams.,music
The Pianist,2002,8.5,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",music
Whitney Houston: I Wanna Dance with Somebody,2022,6.6,"A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical super stardom.",music
Footloose,1984,6.6,"A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",music
Dirty Dancing,1987,7.1,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",music
A Face in the Crowd,1957,8.2,"Female radio reporter Marcia Jeffries turns folk-singing drifter Larry ""Lonesome"" Rhodes into a powerful media star who becomes utterly detestable during his meteoric rise.",music
Monsters,2022-,7.8,An anthology series about high-profile crimes or killers that captured public attention and notoriety.,horror
Terrifier 3,2024,7.1,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,horror
The Substance,2024,7.8,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",horror
Salem's Lot,2024,5.7,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",horror
From,2022-,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",horror
Beetlejuice Beetlejuice,2024,6.9,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",horror
Speak No Evil,2024,6.9,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",horror
The Platform 2,2024,5,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity.",horror
Grotesquerie,2024-,6.7,"A detective and a nun investigate a series of heinous crimes that seem personal, while grappling with personal issues and uncovering a sinister web that raises more questions than answers.",horror
Teacup,2024-,6.9,"Trapped on a farm in rural Georgia, a group of neighbors must put aside their differences and unite in the face of a mysterious and deadly threat.",horror
Terrifier,2016,5.6,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,horror
Terrifier 2,2022,6.1,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",horror
Hellboy: The Crooked Man,2024,4.5,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.",horror
Yellowjackets,2021-,7.8,A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.,horror
The Platform,2019,7,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.",horror
Strange Darling,2023,7.2,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.,horror
V/H/S/Beyond,2024,6,"Six bloodcurdling tapes unleash horror in a sci-fi inspired hellscape, pushing the boundaries of fear and suspense.",horror
Hold Your Breath,2024,5.3,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family.",horror
Azrael,2024,5.5,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",horror
The Walking Dead,2010-2022,8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,horror
Longlegs,2024,6.7,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",horror
Supernatural,2005-2020,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",horror
Stranger Things,2016-2025,8.7,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",horror
Salem's Lot,1979,6.7,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,horror
American Horror Story,2011-,8,"An anthology series centering on different characters and locations, showcasing different aspects of horror.",horror
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",musical
Emilia Pérez,2024,7.4,"In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",musical
Wicked,2024,N/A,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining two-part cinematic event this holiday season.",musical
Piece by Piece,2024,7.4,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation.",musical
The Nightmare Before Christmas,1993,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",musical
Sing,2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",musical
The Little Mermaid,2023,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,musical
Moana 2,2024,N/A,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she has ever faced.",musical
Corpse Bride,2005,7.4,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",musical
The Rocky Horror Picture Show,1975,7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,musical
Descendants: The Rise of Red,2024,4.7,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an event that would cause grave consequences.",musical
Sing 2,2021,7.3,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,musical
Grease,1978,7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",musical
The Wizard of Oz,1939,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",musical
Wonka,2023,7,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",musical
Glee,2009-2015,6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,musical
